observable,tick,w1,threshold,excess
boundEnzymes,51,1.4600000000000002,0.6170999999999998,0.8429000000000004
boundEnzymes,52,1.7,0.638,1.0619999999999998
boundEnzymes,53,1.58,0.528,1.052
boundEnzymes,54,1.62,0.6610999999999998,0.9589000000000003
boundEnzymes,55,1.72,0.682,1.0379999999999998
boundEnzymes,56,1.5,0.33000000000000007,1.17
boundEnzymes,57,1.54,0.41800000000000004,1.1219999999999999
boundEnzymes,58,1.52,0.484,1.036
boundEnzymes,59,1.58,0.5720000000000001,1.008
boundEnzymes,60,1.74,0.704,1.036
boundEnzymes,61,1.8,0.7040000000000001,1.096
boundEnzymes,62,1.82,0.4850999999999997,1.3349000000000004
boundEnzymes,63,1.88,0.6819999999999999,1.198
boundEnzymes,64,1.8800000000000003,0.5950999999999996,1.2849000000000008
boundEnzymes,65,2.02,0.7040000000000001,1.3159999999999998
boundEnzymes,66,2.1399999999999997,0.7710999999999998,1.3689
boundEnzymes,67,2.14,0.7710999999999997,1.3689000000000004
boundEnzymes,68,2.1399999999999997,0.7040000000000001,1.4359999999999995
boundEnzymes,69,2.26,0.6600000000000001,1.5999999999999996
boundEnzymes,70,2.3,0.7270999999999996,1.5729000000000002
boundEnzymes,71,2.16,0.7480000000000001,1.412
boundEnzymes,72,2.32,0.6610999999999998,1.6589
boundEnzymes,73,2.3600000000000003,0.7040000000000001,1.6560000000000001
boundEnzymes,74,2.1,0.6380000000000001,1.462
boundEnzymes,75,2.2800000000000002,0.9910999999999998,1.2889000000000004
boundEnzymes,76,2.0199999999999996,0.66,1.3599999999999994
boundEnzymes,77,1.9599999999999997,0.6610999999999998,1.2989
boundEnzymes,78,2.16,0.7040000000000001,1.456
boundEnzymes,79,2.08,0.5950999999999997,1.4849000000000003
boundEnzymes,80,2.38,0.6170999999999998,1.7629000000000001
boundEnzymes,81,2.28,0.77,1.5099999999999998
boundEnzymes,82,2.4399999999999995,0.6610999999999998,1.7788999999999997
boundEnzymes,83,2.54,0.9240000000000002,1.6159999999999999
boundEnzymes,84,2.54,0.858,1.682
boundEnzymes,85,2.58,0.6380000000000001,1.942
boundEnzymes,86,2.54,0.7490999999999997,1.7909000000000004
boundEnzymes,87,2.58,0.7490999999999998,1.8309000000000002
boundEnzymes,88,2.2600000000000002,0.8381999999999995,1.4218000000000006
boundEnzymes,89,2.6799999999999997,0.726,1.9539999999999997
boundEnzymes,90,2.54,0.704,1.836
boundEnzymes,91,2.66,0.858,1.802
boundEnzymes,92,2.6799999999999997,0.7480000000000001,1.9319999999999995
boundEnzymes,93,2.56,0.8150999999999998,1.7449000000000003
boundEnzymes,94,2.48,0.9020000000000001,1.5779999999999998
boundEnzymes,95,2.52,0.8140000000000001,1.706
boundEnzymes,96,2.5,0.704,1.796
boundEnzymes,97,2.7,0.8140000000000001,1.8860000000000001
boundEnzymes,98,2.76,0.7061999999999994,2.0538000000000003
boundEnzymes,99,2.6000000000000005,0.8392999999999992,1.7607000000000013
RNAs,0,783.38,0.0,783.38
RNAs,1,783.34,0.0,783.34
RNAs,2,783.3999999999999,0.0,783.3999999999999
RNAs,3,782.2199999999999,0.2860000000000001,781.934
RNAs,4,780.84,0.35200000000000004,780.488
RNAs,5,782.8399999999999,0.37509999999999977,782.4649
RNAs,6,782.92,0.242,782.678
RNAs,7,782.9200000000001,0.264,782.6560000000001
RNAs,8,782.5000000000001,0.5070999999999998,781.9929000000001
RNAs,9,782.4999999999999,0.5280000000000001,781.9719999999999
RNAs,10,782.28,0.6610999999999996,781.6188999999999
RNAs,11,782.4599999999999,0.55,781.91
RNAs,12,782.5,0.48509999999999975,782.0149
RNAs,13,782.1999999999999,0.594,781.6059999999999
RNAs,14,782.52,0.5730999999999996,781.9469
RNAs,15,782.5,0.6390999999999996,781.8609
