observable,tick,ks_d,p_value,p_value_bonferroni,alpha_global,alpha_corrected
enzymes,38,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,39,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,40,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,41,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,42,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,43,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,44,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,45,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,46,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,47,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,48,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,49,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,50,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,51,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,52,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,53,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,54,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,55,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,56,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,57,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,58,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,59,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,60,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,61,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,62,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,63,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,64,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,65,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,66,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,67,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,68,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,69,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,70,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,71,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,72,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,73,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,74,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,75,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,76,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,77,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,78,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,79,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,80,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,81,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,82,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,83,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,84,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,85,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,86,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,87,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,88,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,89,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,90,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,91,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,92,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,93,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,94,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,95,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,96,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,97,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,98,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
enzymes,99,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,0,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,1,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,2,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,3,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,4,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,5,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,6,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,7,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,8,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,9,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,10,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,11,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,12,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,13,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,14,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,15,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,16,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,17,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,18,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,19,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,20,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,21,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,22,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
