tick,k_vs_oc_w1,current_threshold,bootstrap_repl_threshold,split_half_threshold,ratio_oc_over_sh
55,13483.84,1685.938099999999,5814.451499999997,8233.917999999994,1.637597071042001
56,13737.16,1727.4377999999997,5488.0408,7942.541199999998,1.7295673581145545
57,13894.080000000002,1702.305,5293.7918,8021.8204,1.732035785792462
58,14111.699999999999,1748.4477999999997,5309.474499999999,7737.518799999999,1.8238017075964974
59,14376.680000000002,1779.1036999999988,5250.693800000001,7865.281599999999,1.8278658961174388
60,14662.199999999999,1912.5084000000002,5278.4138,7930.8107999999975,1.8487643154972255
61,14813.12,1562.6060999999997,5810.3551,7984.477599999999,1.8552397216318826
62,15042.3,1557.401999999999,5662.6867,9042.800799999999,1.6634558620377882
63,15191.260000000004,1573.0549999999998,5764.689699999993,8203.188400000001,1.8518726206507707
64,15408.480000000003,1586.3353000000004,5530.532699999999,8886.7724,1.7338668423645016
65,15649.740000000003,1608.5882999999997,6051.3562999999995,9231.917199999994,1.695177682052869
66,15955.160000000003,1566.4241999999997,6711.219899999999,8206.5852,1.944189892770504
67,16227.44,1699.4075999999995,5606.0828999999985,8335.738399999991,1.9467309578717127
68,16558.08,1779.9517999999991,5937.453499999999,8673.7244,1.9089930964373278
69,16702.680000000004,1627.8042,6321.089499999999,7857.348400000001,2.12574002700453
70,16893.76,1760.1286999999995,6146.633900000001,9205.8956,1.8351022794566558
71,17071.860000000004,1822.5591999999976,6761.695599999996,9009.255199999998,1.8949246770143673
72,17375.060000000005,1776.7838000000002,5766.271499999997,9225.924399999998,1.8832866222055764
73,17587.02,1718.5068999999985,6645.388200000001,8819.923199999997,1.9940105600919524
74,17857.300000000003,1995.9279999999992,6725.7355,9468.738399999986,1.8859217823569854
75,18067.099999999995,1863.6838000000002,7480.759000000001,10565.425199999998,1.7100210978730888
76,18351.559999999994,1975.7848000000001,7029.626999999998,9387.721199999998,1.954847146504521
77,18576.120000000003,1846.0584999999996,6694.765,10346.023599999999,1.7954840157140184
78,18795.76,1871.287,6181.703,9472.522399999993,1.9842402272915198
79,19064.300000000003,1917.6706999999997,6751.663599999999,9740.3856,1.9572428426242185
80,19260.620000000003,1808.6760999999997,6832.280399999996,10038.032399999995,1.9187644781859852
81,19470.12,2058.8688999999995,7132.721199999998,11276.363999999994,1.7266310310663977
82,19766.120000000003,2007.3657999999998,7334.207099999998,11090.512399999992,1.7822548938315976
83,20012.780000000002,1992.1945999999996,7673.983899999996,10455.4384,1.9141024253942336
84,20263.68,2126.5606999999995,7675.8099,10482.1816,1.9331548310515818
85,20479.96,2050.955499999999,6924.267900000001,10148.9256,2.017943653070035
86,20670.600000000002,2041.2468999999994,8163.772099999998,10264.3288,2.013828707435795
87,20913.92,2021.2752999999996,7561.080999999998,10719.992799999996,1.9509266834582208
88,21068.68,2036.0185999999987,7368.3654,10827.915999999997,1.9457742376279983
89,21324.380000000005,2027.1933000000001,8001.441799999987,10882.581599999996,1.959496448894076
90,21574.3,2329.6515,7589.650199999999,11954.606399999991,1.8046850961149181
91,21797.440000000002,2283.0632,7609.921,10914.3892,1.9971287078529327
92,21945.88,2231.5501999999988,7108.007500000001,10845.119999999995,2.0235718922427792
93,22173.560000000005,1993.7928999999983,7862.652599999999,10407.935999999998,2.1304473816902805
94,22446.1,2330.0629000000004,7961.9770999999955,11169.2636,2.009631145243989
95,22686.88,2294.9519999999998,8845.994299999998,12424.94879999999,1.8259133590956946
96,22963.38,2336.841099999997,8434.697699999999,12939.797199999995,1.7746321402935132
97,23253.62,2390.2867999999994,8530.0347,12595.180399999997,1.8462315950631405
98,23522.84,2250.4063999999994,8889.959099999996,12903.277200000002,1.823012838939862
99,23771.06,2642.5586,8549.0691,12604.517199999998,1.8859159476572418
