observable,tick,w1,threshold,excess
enzymes,74,23.44,4.114000000000001,19.326
enzymes,75,23.04,4.3340000000000005,18.706
enzymes,76,22.519999999999996,2.7950999999999993,19.724899999999998
enzymes,77,23.879999999999995,3.084399999999998,20.795599999999997
enzymes,78,23.579999999999995,3.1911,20.388899999999996
enzymes,79,22.4,3.8070999999999997,18.5929
enzymes,80,20.96,3.477099999999999,17.4829
enzymes,81,22.22,3.4111000000000002,18.808899999999998
enzymes,82,22.48,3.4781999999999993,19.001800000000003
enzymes,83,22.560000000000002,3.129499999999998,19.430500000000006
enzymes,84,22.28,3.1250999999999998,19.1549
enzymes,85,20.86,3.461699999999998,17.398300000000003
enzymes,86,20.380000000000003,3.4991,16.880900000000004
enzymes,87,21.8,3.9622000000000006,17.8378
enzymes,88,21.48,3.212,18.268
enzymes,89,22.18,3.3450999999999995,18.8349
enzymes,90,22.179999999999996,3.673999999999999,18.505999999999997
enzymes,91,21.02,3.7014999999999985,17.3185
enzymes,92,21.12,4.713499999999998,16.4065
enzymes,93,22.3,2.7763999999999993,19.523600000000002
enzymes,94,20.18,3.3230999999999997,16.8569
enzymes,95,20.48,3.368199999999999,17.111800000000002
enzymes,96,21.099999999999998,3.8070999999999993,17.2929
enzymes,97,21.259999999999998,3.4342,17.825799999999997
enzymes,98,20.2,4.493499999999998,15.706500000000002
enzymes,99,20.299999999999997,2.9051000000000005,17.394899999999996
boundEnzymes,0,38.08,0.264,37.815999999999995
boundEnzymes,1,2.96,1.059299999999999,1.900700000000001
boundEnzymes,2,5.700000000000001,1.2320000000000002,4.468000000000001
boundEnzymes,3,2.34,1.2110999999999998,1.1289
boundEnzymes,4,3.3400000000000003,2.6410999999999993,0.698900000000001
boundEnzymes,5,3.6799999999999997,2.2241999999999993,1.4558000000000004
boundEnzymes,6,4.1,2.8820000000000006,1.217999999999999
boundEnzymes,7,6.220000000000001,3.581599999999995,2.6384000000000056
boundEnzymes,8,4.08,2.2703999999999986,1.8096000000000014
boundEnzymes,9,4.280000000000001,2.75,1.5300000000000011
boundEnzymes,10,5.7,2.159299999999999,3.540700000000001
boundEnzymes,11,7.02,2.8160000000000003,4.203999999999999
boundEnzymes,12,6.86,1.962399999999999,4.8976000000000015
boundEnzymes,13,4.720000000000001,2.2659999999999996,2.454000000000001
boundEnzymes,14,4.420000000000001,2.8841999999999994,1.5358000000000014
boundEnzymes,15,6.16,3.718,2.442
boundEnzymes,16,5.6,2.618,2.9819999999999998
boundEnzymes,17,7.0,2.8819999999999997,4.118
boundEnzymes,18,5.88,2.139499999999998,3.7405000000000017
boundEnzymes,19,6.6000000000000005,3.6542,2.9458000000000006
boundEnzymes,20,5.36,2.5816999999999966,2.7783000000000038
