tick,e1_monomer_count_direct_state_read,complex1_delta_MG_041_062_429_PENTAMER,complex2_delta_MG_041_069_429_PENTAMER,any_complex_delta_total,any_complex_changed,pinched
2036,0,0,0,2,1,0
2037,0,0,0,-2,1,0
2040,0,0,0,1,1,0
2041,0,0,0,-1,1,0
2047,0,0,0,1,1,0
2048,0,0,0,-1,1,0
2050,0,0,0,0,0,0
2075,0,0,0,0,0,0
2100,0,0,0,0,0,0
2108,0,0,0,1,1,0
2109,0,0,0,-1,1,0
2125,0,0,0,0,0,0
2137,0,0,0,1,1,0
2138,0,0,0,-1,1,0
2142,0,0,0,1,1,0
2143,0,0,0,-1,1,0
2150,0,0,0,0,0,0
2165,0,0,0,1,1,0
2166,0,0,0,-1,1,0
2169,0,0,0,1,1,0
2170,0,0,0,-1,1,0
2175,0,0,0,1,1,0
2176,0,0,0,-1,1,0
2199,0,0,0,1,1,0
2200,0,0,0,-1,1,0
2215,0,0,0,1,1,0
2216,0,0,0,-1,1,0
2217,0,0,0,1,1,0
2218,0,0,0,-1,1,0
2222,0,0,0,1,1,0
2223,0,0,0,-1,1,0
2225,0,0,0,0,0,0
2230,0,0,0,1,1,0
2231,0,0,0,-1,1,0
2234,0,0,0,1,1,0
2235,0,0,0,-1,1,0
2236,0,0,0,1,1,0
2237,0,0,0,-1,1,0
2241,0,0,0,1,1,0
2242,0,0,0,-1,1,0
2243,0,0,0,1,1,0
2244,0,0,0,-1,1,0
2250,0,0,0,0,0,0
2261,0,0,0,1,1,0
2262,0,0,0,-1,1,0
2274,0,0,0,1,1,0
2275,0,0,0,-1,1,0
2278,0,0,0,2,1,0
2279,0,0,0,-2,1,0
2280,0,0,0,1,1,0
2281,0,0,0,-1,1,0
2300,0,0,0,1,1,0
2301,0,0,0,-1,1,0
2307,0,0,0,1,1,0
2308,0,0,0,-1,1,0
2309,0,0,0,1,1,0
2310,0,0,0,-1,1,0
2325,0,0,0,0,0,0
2327,0,0,0,2,1,0
2328,0,0,0,-2,1,0
2350,0,0,0,0,0,0
2375,0,0,0,1,1,0
2376,0,0,0,-1,1,0
2400,0,0,0,0,0,0
2401,0,0,0,1,1,0
2402,0,0,0,-1,1,0
2411,0,0,0,1,1,0
2412,0,0,0,-1,1,0
2425,0,0,0,0,0,0
2441,0,0,0,1,1,0
2442,0,0,0,-1,1,0
2448,0,0,0,1,1,0
2449,0,0,0,-1,1,0
2450,0,0,0,0,0,0
2457,0,0,0,1,1,0
2458,0,0,0,-1,1,0
2475,0,0,0,1,1,0
2476,0,0,0,-1,1,0
2481,0,0,0,1,1,0
2482,0,0,0,-1,1,0
2499,0,0,0,2,1,0
2500,0,0,0,-2,1,0
2510,0,0,0,1,1,0
2511,0,0,0,-1,1,0
2525,0,0,0,2,1,0
2526,0,0,0,-2,1,0
2550,0,0,0,0,0,0
2554,0,0,0,1,1,0
2555,0,0,0,-1,1,0
2564,0,0,0,2,1,0
2565,0,0,0,-2,1,0
2575,0,0,0,0,0,0
2587,0,0,0,1,1,0
2588,0,0,0,-1,1,0
2596,0,0,0,1,1,0
2597,0,0,0,-1,1,0
2599,0,0,0,1,1,0
2600,0,0,0,-1,1,0
2623,0,0,0,1,1,0
2624,0,0,0,-1,1,0
2625,0,0,0,0,0,0
2631,0,0,0,1,1,0
2632,0,0,0,-1,1,0
2633,0,0,0,1,1,0
2634,0,0,0,-1,1,0
2636,0,0,0,1,1,0
2637,0,0,0,-1,1,0
2639,0,0,0,3,1,0
2640,0,0,0,-3,1,0
2642,0,0,0,1,1,0
2643,0,0,0,-1,1,0
2647,0,0,0,1,1,0
2648,0,0,0,-1,1,0
2650,0,0,0,0,0,0
2655,0,0,0,1,1,0
2656,0,0,0,-1,1,0
2660,0,0,0,1,1,0
2661,0,0,0,-1,1,0
2667,0,0,0,1,1,0
2668,0,0,0,-1,1,0
2672,0,0,0,1,1,0
2673,0,0,0,-1,1,0
2675,0,0,0,1,1,0
2676,0,0,0,-1,1,0
2684,0,0,0,2,1,0
2685,0,0,0,-2,1,0
2695,0,0,0,1,1,0
2696,0,0,0,-1,1,0
2700,0,0,0,0,0,0
2714,0,0,0,2,1,0
2715,0,0,0,-2,1,0
2716,0,0,0,1,1,0
2717,0,0,0,-1,1,0
2725,0,0,0,0,0,0
2727,0,0,0,1,1,0
2728,0,0,0,-1,1,0
2734,0,0,0,1,1,0
2735,0,0,0,-1,1,0
2747,0,0,0,1,1,0
2748,0,0,0,-1,1,0
2750,0,0,0,0,0,0
2758,0,0,0,1,1,0
2759,0,0,0,-1,1,0
2775,0,0,0,0,0,0
2786,0,0,0,1,1,0
2787,0,0,0,-1,1,0
2788,0,0,0,1,1,0
2789,0,0,0,-1,1,0
2800,0,0,0,0,0,0
2825,0,0,0,0,0,0
2850,0,0,0,0,0,0
2865,0,0,0,1,1,0
2866,0,0,0,-1,1,0
2870,0,0,0,1,1,0
2871,0,0,0,-1,1,0
2875,0,0,0,0,0,0
2884,0,0,0,1,1,0
2885,0,0,0,-1,1,0
2900,0,0,0,0,0,0
2901,0,0,0,1,1,0
2902,0,0,0,-1,1,0
2909,0,0,0,2,1,0
2910,0,0,0,-2,1,0
2912,0,0,0,1,1,0
2913,0,0,0,-1,1,0
2915,0,0,0,1,1,0
2916,0,0,0,-1,1,0
2925,0,0,0,0,0,0
2950,0,0,0,0,0,0
2975,0,0,0,0,0,0
2981,0,0,0,1,1,0
2982,0,0,0,-1,1,0
2991,0,0,0,1,1,0
2992,0,0,0,-1,1,0
3000,0,0,0,0,0,0
3006,0,0,0,2,1,0
3007,0,0,0,-2,1,0
3025,0,0,0,0,0,0
3050,0,0,0,0,0,0
3075,0,0,0,0,0,0
3078,0,0,0,2,1,0
3079,0,0,0,-2,1,0
3100,0,0,0,0,0,0
3112,0,0,0,1,1,0
3113,0,0,0,-1,1,0
3121,0,0,0,1,1,0
3122,0,0,0,-1,1,0
3123,0,0,0,3,1,0
3124,0,0,0,-3,1,0
3125,0,0,0,0,0,0
3133,0,0,0,1,1,0
3134,0,0,0,-1,1,0
3138,0,0,0,1,1,0
3139,0,0,0,-1,1,0
3143,0,0,0,1,1,0
3144,0,0,0,-1,1,0
3147,0,0,0,1,1,0
3148,0,0,0,-1,1,0
3150,0,0,0,0,0,0
3157,0,0,0,1,1,0
3158,0,0,0,-1,1,0
3163,0,0,0,1,1,0
3164,0,0,0,-1,1,0
3175,0,0,0,0,0,0
3193,0,0,0,1,1,0
3194,0,0,0,-1,1,0
3200,0,0,0,0,0,0
3201,0,0,0,1,1,0
3202,0,0,0,-1,1,0
3207,0,0,0,1,1,0
3208,0,0,0,-1,1,0
3209,0,0,0,1,1,0
3210,0,0,0,0,1,0
3211,0,0,0,-1,1,0
3212,0,0,0,1,1,0
3213,0,0,0,-1,1,0
3225,0,0,0,0,0,0
3231,0,0,0,1,1,0
3232,0,0,0,-1,1,0
3237,0,0,0,1,1,0
3238,0,0,0,-1,1,0
3244,0,0,0,1,1,0
3245,0,0,0,-1,1,0
3250,0,0,0,0,0,0
3260,0,0,0,2,1,0
3261,0,0,0,-2,1,0
3275,0,0,0,0,0,0
3283,0,0,0,1,1,0
3284,0,0,0,-1,1,0
3291,0,0,0,1,1,0
3292,0,0,0,0,1,0
3293,0,0,0,0,1,0
3294,0,0,0,-1,1,0
3300,0,0,0,0,0,0
3325,0,0,0,0,0,0
3328,0,0,0,1,1,0
3329,0,0,0,-1,1,0
3337,0,0,0,1,1,0
3338,0,0,0,-1,1,0
3339,0,0,0,2,1,0
3340,0,0,0,-2,1,0
3347,0,0,0,1,1,0
3348,0,0,0,-1,1,0
3350,0,0,0,0,0,0
3364,0,0,0,1,1,0
3365,0,0,0,-1,1,0
3375,0,0,0,0,0,0
3376,0,0,0,2,1,0
3377,0,0,0,-2,1,0
3384,0,0,0,1,1,0
3385,0,0,0,-1,1,0
3393,0,0,0,1,1,0
3394,0,0,0,-1,1,0
3396,0,0,0,1,1,0
3397,0,0,0,-1,1,0
3400,0,0,0,1,1,0
3401,0,0,0,-1,1,0
3425,0,0,0,0,0,0
3432,0,0,0,1,1,0
3433,0,0,0,-1,1,0
3445,0,0,0,1,1,0
3446,0,0,0,-1,1,0
3450,0,0,0,0,0,0
3456,0,0,0,1,1,0
3457,0,0,0,-1,1,0
3460,0,0,0,1,1,0
3461,0,0,0,-1,1,0
3462,0,0,0,2,1,0
3463,0,0,0,-2,1,0
3466,0,0,0,1,1,0
3467,0,0,0,-1,1,0
3471,0,0,0,3,1,0
3472,0,0,0,-3,1,0
3475,0,0,0,0,0,0
3479,0,0,0,1,1,0
3480,0,0,0,-1,1,0
3482,0,0,0,1,1,0
3483,0,0,0,-1,1,0
3485,0,0,0,1,1,0
3486,0,0,0,-1,1,0
3497,0,0,0,1,1,0
3498,0,0,0,-1,1,0
3500,0,0,0,0,0,0
3501,0,0,0,1,1,0
3502,0,0,0,-1,1,0
3505,0,0,0,1,1,0
3506,0,0,0,-1,1,0
3513,0,0,0,1,1,0
3514,0,0,0,-1,1,0
3525,0,0,0,0,0,0
3528,0,0,0,2,1,0
3529,0,0,0,-2,1,0
3533,0,0,0,1,1,0
3534,0,0,0,-1,1,0
3544,0,0,0,3,1,0
3545,0,0,0,-3,1,0
3550,0,0,0,0,0,0
3553,0,0,0,1,1,0
3554,0,0,0,-1,1,0
3557,0,0,0,1,1,0
3558,0,0,0,-1,1,0
3559,0,0,0,2,1,0
3560,0,0,0,-1,1,0
3561,0,0,0,-1,1,0
3569,0,0,0,1,1,0
3570,0,0,0,-1,1,0
3572,0,0,0,1,1,0
3573,0,0,0,-1,1,0
3575,0,0,0,0,0,0
3576,0,0,0,1,1,0
3577,0,0,0,-1,1,0
3580,0,0,0,1,1,0
3581,0,0,0,-1,1,0
3591,0,0,0,1,1,0
3592,0,0,0,-1,1,0
3600,0,0,0,0,0,0
3602,0,0,0,1,1,0
3603,0,0,0,-1,1,0
3612,0,0,0,1,1,0
3613,0,0,0,-1,1,0
3625,0,0,0,0,0,0
3650,0,0,0,0,0,0
3675,0,0,0,0,0,0
3682,0,0,0,1,1,0
3683,0,0,0,0,1,0
3684,0,0,0,-1,1,0
3700,0,0,0,0,0,0
3712,0,0,0,2,1,0
3713,0,0,0,-2,1,0
3725,0,0,0,0,0,0
3747,0,0,0,1,1,0
3748,0,0,0,-1,1,0
3750,0,0,0,1,1,0
3751,0,0,0,-1,1,0
3775,0,0,0,0,0,0
3777,0,0,0,1,1,0
3778,0,0,0,-1,1,0
3799,0,0,0,1,1,0
3800,0,0,0,-1,1,0
3803,0,0,0,1,1,0
3804,0,0,0,-1,1,0
3807,0,0,0,1,1,0
3808,0,0,0,-1,1,0
3812,0,0,0,1,1,0
3813,0,0,0,-1,1,0
3819,0,0,0,2,1,0
3820,0,0,0,-2,1,0
